,LN_ID,TARGET,contract_type_ord,gender_ord,num_of_children_ord,INCOME,APPROVED_CREDIT,ANNUITY,PRICE,income_type_ord,education_ord,family_status_ord,housing_type_ord,DAYS_AGE,DAYS_WORK,DAYS_REGISTRATION,DAYS_ID_CHANGE,weekdays_apply_ord,hour_apply_ord,organization_type_ord,EXT_SCORE_1,EXT_SCORE_2,EXT_SCORE_3,SK_ID_PREV,INST_NUMBER,INST_DAYS,PAY_DAYS,AMT_INST,AMT_PAY,contract_type_prevapp_ord,ANNUITY_PREV_APP,APPLICATION,APPROVED_CREDIT_PREV_APP,AMT_DOWN_PAYMENT,PRICE_PREV_APP,weekdays_apply_prevapp_ord,hour_apply_prevapp_ord,DAYS_DECISION,TERM_PAYMENT,yield_group_ord,FIRST_DRAW,FIRST_DUE,TERMINATION,NFLAG_INSURED_ON_APPROVAL
4830,264368,0,1,1,1,225000.0,1575000.0,43443.0,1575000.0,3,2,1,1,-15892,365243,-1771,-4418,7,9,8,0.8025826314249928,0.6301945960115276,0.4170996682522097,1571320,4,-906,-916.0,6194.25,6194.25,3,6194.25,137344.5,137344.5,0.0,137344.5,6,9,-1027,24.0,4,365243.0,-996.0,-326.0,0.0
4835,143784,0,1,2,1,90000.0,198085.5,20425.5,171000.0,1,1,4,1,-16454,-2994,-8730,-8,6,2,12,0.3058416892217464,0.4550273326422049,0.6722428897082422,1255793,7,-2454,-2509.0,4074.66,4074.66,3,4074.66,31770.0,34915.5,0.0,31770.0,1,4,-2665,12.0,2,365243.0,-2634.0,-2330.0,1.0
4837,131612,0,1,1,3,211500.0,675000.0,26901.0,675000.0,1,1,1,1,-14586,-319,-2133,-4984,2,10,4,0.6323898992606332,0.5890437123822623,0.5989262182569273,2361993,3,-1490,-1502.0,3803.58,3803.58,3,3803.58,37885.5,30307.5,7578.0,37885.5,3,0,-1581,10.0,2,365243.0,-1550.0,-1269.0,0.0
4839,217608,0,1,2,5,202500.0,900000.0,26316.0,900000.0,1,1,1,1,-11760,-3102,-740,-1531,2,11,21,0.5904050292396945,0.3369332222300251,0.2807895743848605,2689711,2,-2644,-2644.0,2788.92,2788.92,3,2788.92,13896.0,13896.0,0.0,13896.0,6,2,-2705,6.0,2,365243.0,-2674.0,-2578.0,0.0
4845,105566,0,1,1,3,315000.0,225000.0,8613.0,225000.0,1,2,4,2,-12410,-205,-1298,-4189,1,9,0,0.5661174131487178,0.6481960168276352,0.7016957740576931,2023586,2,-2406,-2406.0,13478625.0,13478625.0,3,13478625.0,90076.5,86346.0,9076.5,90076.5,4,12,-2475,8.0,2,365243.0,-2436.0,-2220.0,1.0
4847,192930,0,1,2,1,67500.0,137538.0,7807.5,121500.0,3,1,2,1,-24381,365243,-6945,-4361,5,6,8,0.7837813154988151,0.15556226903842502,0.7394117535524816,1847202,1,-2539,-2524.0,3243195.0,3243195.0,3,3243195.0,17955.0,16159.5,1795.5,17955.0,3,11,-2578,6.0,2,365243.0,-2539.0,-2357.0,0.0
4850,191852,0,1,2,1,225000.0,177903.0,13428.0,148500.0,3,2,1,1,-22050,365243,-2485,-5196,3,11,8,0.7332217551810001,0.7946337034908176,0.4471785780453068,1833136,3,-2645,-2683.0,5516145.0,5516145.0,3,5516145.0,42448.5,41350.5,4248.0,42448.5,4,7,-2736,10.0,3,365243.0,-2705.0,-2579.0,1.0
4857,284687,0,1,1,1,157500.0,172647.0,14944.5,139500.0,1,1,1,1,-16221,-903,-4899,-5087,1,9,30,0.575392491325643,0.5589655016129262,0.23791607950711405,1499146,2,-1967,-1967.0,15606.81,15606.81,1,15606.81,112500.0,136849.5,0.0,112500.0,4,8,-2027,12.0,2,365243.0,-1997.0,-1660.0,1.0
4874,266172,0,2,2,1,225000.0,630000.0,31500.0,630000.0,1,2,1,1,-19166,-2257,-9613,-2385,6,6,4,0.6407068887338656,0.6206973630882127,0.746300213050371,1696372,8,-1236,-1249.0,10187.55,10187.55,3,10187.55,110700.0,101875.5,18000.0,110700.0,6,7,-1477,12.0,1,365243.0,-1446.0,-1112.0,0.0
4875,215945,0,1,2,1,315000.0,670401.0,24079.5,553500.0,1,1,1,1,-12208,-148,-686,-1397,2,11,4,0.6965505585908432,0.6274742101135745,0.6512602186973006,1309702,3,-807,-820.0,15052995.0,15052995.0,3,15052995.0,94084.2,84672.0,9412.2,94084.2,6,13,-899,6.0,3,365243.0,-867.0,-772.0,0.0
4876,130652,0,2,2,1,157500.0,270000.0,13500.0,270000.0,1,1,4,1,-22787,-1722,-8977,-4001,5,9,48,0.7365901606224486,0.7514242772953565,0.5691487713619409,1910442,5,-1228,-1239.0,10597.77,10597.77,3,10597.77,111582.0,98100.0,22320.0,111582.0,5,2,-1379,12.0,1,365243.0,-1348.0,-1012.0,0.0
4878,187173,0,1,2,2,238500.0,1258650.0,53325.0,1125000.0,2,1,1,3,-13119,-3516,-7192,-4418,3,7,4,0.6991710781209417,0.5583077131748742,0.7776594425716818,2403006,3,-2626,-2646.0,6290.37,6290.37,3,6290.37,62910.0,56619.0,6291.0,62910.0,2,5,-2717,10.0,3,365243.0,-2686.0,-2411.0,0.0
4884,194496,1,1,2,1,202500.0,973710.0,28597.5,697500.0,1,2,1,1,-15843,-2073,-867,-435,2,6,0,0.34203950379621245,0.5806549893074068,0.11761373170805695,1378496,3,-1361,-1364.0,10941165.0,10941165.0,3,10941165.0,89289.0,98127.0,0.0,89289.0,6,0,-1452,12.0,2,365243.0,-1421.0,-1142.0,0.0
4888,206111,0,1,2,1,185400.0,502497.0,36693.0,454500.0,4,2,1,1,-15485,-6844,-5729,-5016,2,11,5,0.6780083644911057,0.6551402989690703,0.2764406945454034,2459791,2,-792,-792.0,15161.22,15161.22,3,5184585.0,24327.0,19458.0,4869.0,24327.0,2,2,-861,4.0,1,365243.0,-822.0,-786.0,0.0
4897,286183,0,1,2,1,270000.0,534204.0,28588.5,495000.0,2,1,1,1,-13860,-2741,-8014,-5120,1,7,2,0.5758783359354399,0.5358740401349877,0.6642482627052363,1814745,14,-1130,-1140.0,4045815.0,4045815.0,3,4045815.0,74883015.0,89707.5,3015.0,74883015.0,4,13,-1551,24.0,4,365243.0,-1520.0,-827.0,0.0
4899,136019,0,2,2,1,202500.0,270000.0,13500.0,270000.0,1,1,1,1,-18911,-836,-8682,-2439,6,2,4,0.6049700025691828,0.6100512399274204,0.41885428862332175,1875712,4,-303,-310.0,7575.57,7575.57,3,7575.57,121050.0,146614.5,0.0,121050.0,2,0,-424,24.0,3,365243.0,-393.0,365243.0,0.0
4901,144897,0,2,2,3,157500.0,270000.0,13500.0,270000.0,1,1,1,1,-12312,-740,-415,-360,4,5,1,0.7085087388115948,0.36301649669718894,0.29859498978739724,2142838,19,-351,-364.0,6730875.0,6730875.0,3,6730875.0,149409.0,149409.0,0.0,149409.0,6,2,-922,24.0,4,365243.0,-891.0,-193.0,0.0
4909,292993,0,1,2,2,121500.0,526500.0,15394.5,526500.0,2,2,1,1,-11786,-3154,-252,-1527,3,9,17,0.6257256200013082,0.7796007925874698,0.5334816299804352,1175644,6,-807,-814.0,36028755.0,36028755.0,3,36109.35,204354.0,204354.0,0.0,204354.0,7,12,-990,6.0,3,365243.0,-957.0,-801.0,0.0
4914,281138,0,1,2,1,81000.0,175500.0,11857.5,175500.0,1,1,1,1,-10654,-1831,-3685,-3294,6,0,4,0.5414092608304952,0.5434250918307746,0.2793353208976285,1877627,10,-993,-1002.0,67667.31,67667.31,1,23571585.0,180000.0,217669.5,0.0,180000.0,1,12,-1293,12.0,1,365243.0,-1263.0,-985.0,1.0
4916,206078,0,1,2,1,112500.0,225000.0,7195.5,225000.0,1,1,3,1,-9952,-1766,-656,-2623,2,9,21,0.395988517533655,0.5973809825600194,0.17249546677733105,2059021,5,-1366,-1391.0,1700.1,1700.1,3,1700.1,37696.5,37696.5,0.0,37696.5,4,9,-1517,24.0,4,365243.0,-1486.0,-912.0,0.0
4921,256761,0,1,1,1,180000.0,835380.0,40320.0,675000.0,1,1,1,1,-16051,-2266,-2786,-4682,4,2,4,0.4081881948629432,0.4881682637484217,0.5971924268337128,1475168,4,-2281,-2296.0,5947155.0,5947155.0,3,5947155.0,51480.0,44581.5,10296.0,51480.0,3,12,-2402,10.0,2,365243.0,-2371.0,-2097.0,1.0
4926,155175,0,2,1,4,225000.0,450000.0,22500.0,450000.0,1,1,1,1,-13072,-3092,-137,-4958,6,1,4,0.6816658507361414,0.4851636186421564,0.8454379217710598,2260009,1,-1002,-1010.0,14179275.0,14179275.0,3,1121355.0,15255.0,13725.0,1530.0,15255.0,4,8,-1038,16.0,1,365243.0,-1002.0,-993.0,0.0
4927,297568,0,1,1,2,135000.0,454500.0,19237.5,454500.0,1,1,1,1,-11880,-910,-4394,-3805,2,0,17,0.7576339901538321,0.13257071494611586,0.07749854649006513,1109032,5,-417,-406.0,7062885.0,6554025.0,3,7062885.0,33168.87,38875.5,3.87,33168.87,1,8,-568,6.0,1,365243.0,-537.0,-366.0,0.0
4930,249114,0,1,1,1,135000.0,241618.5,25636.5,229500.0,1,1,1,1,-9116,-1599,-9102,-1654,1,11,2,0.34963449993179896,0.2980386843135508,0.5549467685334323,1624231,3,-991,-993.0,9197.64,9197.64,3,9197.64,76455.0,75622.5,7645.5,76455.0,3,1,-1082,12.0,2,365243.0,-1051.0,-833.0,0.0
4934,212400,0,2,2,3,157500.0,450000.0,22500.0,450000.0,1,1,1,1,-15558,-2279,-2591,-5592,3,3,41,0.5406936970385603,0.6448227181476635,0.7910749129911773,2502789,9,-348,-358.0,16453305.0,16453305.0,3,16453305.0,164520.0,148068.0,16452.0,164520.0,3,5,-623,10.0,3,365243.0,-588.0,-311.0,0.0
4937,188825,0,1,2,2,135000.0,257562.0,15691.5,184500.0,1,1,2,2,-17090,-516,-16463,-621,2,3,6,0.827200204686341,0.5657357988357584,0.6296742509538716,1176851,2,-157,-207.0,1565595.0,1565595.0,3,1565595.0,17235.0,15511.5,1723.5,17235.0,1,1,-225,12.0,1,365243.0,-187.0,365243.0,0.0
4943,135059,0,1,2,1,180000.0,1354500.0,47079.0,1354500.0,2,1,1,1,-23597,-1323,-8246,-4687,1,11,22,0.8401752161818166,0.6626205404052735,0.4083588531230431,2320611,2,-2827,-2827.0,4921.2,4921.2,1,4921.2,45000.0,45000.0,0.0,45000.0,5,11,-2887,12.0,2,365243.0,-2857.0,-2521.0,0.0
4950,169822,0,1,1,2,135000.0,508495.5,24592.5,454500.0,2,2,1,1,-14034,-5598,-269,-1714,2,10,35,0.35159679877936034,0.4950326388731233,0.5971924268337128,1960324,4,-1654,-1667.0,13155.3,12904.2,3,13155.3,135000.0,121500.0,13500.0,135000.0,3,7,-1777,12.0,1,365243.0,-1744.0,-1409.0,0.0
4952,265112,0,1,2,2,225000.0,521280.0,19984.5,450000.0,1,1,3,1,-10103,-2766,-4028,-2766,5,4,4,0.40871359960064096,0.6935438667480179,0.34741822720026416,1849869,7,-1675,-1691.0,6412455.0,6412455.0,3,6412455.0,50395.5,42835.5,7560.0,50395.5,2,12,-1886,10.0,2,365243.0,-1855.0,-1580.0,0.0
4953,143254,0,1,1,1,315000.0,1724688.0,52420.5,1575000.0,4,2,1,1,-20152,-2769,-10732,-3631,4,3,0,0.7147180245468566,0.6860057192206007,0.6971469077844458,1774656,1,-977,-987.0,14183595.0,14183595.0,3,14183595.0,303048.0,313173.0,0.0,303048.0,3,1,-1009,24.0,4,365243.0,-977.0,-284.0,0.0
4957,133656,0,1,2,3,112500.0,1078200.0,31522.5,900000.0,4,1,1,1,-13500,-6391,-1285,-4660,2,0,12,0.5358011365084648,0.5624773327130226,0.3606125659189888,1625180,8,-2130,-2161.0,3404025.0,34.92,3,3404025.0,26541.0,29169.0,0.0,26541.0,4,8,-2371,12.0,2,365243.0,-2340.0,-1997.0,1.0
4959,241517,0,1,1,1,157500.0,67500.0,7632.0,67500.0,1,1,3,1,-11223,-1894,-5188,-3582,1,7,4,0.14484631268534268,0.5213971703661875,0.7136313997323308,1822162,2,-570,-579.0,6809.22,6809.22,3,6809.22,31455.0,33115.5,0.0,31455.0,7,2,-632,6.0,2,365243.0,-600.0,-478.0,0.0
4963,233767,0,1,1,3,139500.0,275040.0,13504.5,180000.0,1,1,1,1,-9932,-1205,-917,-2472,4,4,35,0.3097854568583758,0.6275866574145291,0.4418358231994413,1034092,3,-586,-626.0,7823925.0,7823925.0,3,7823925.0,38754.0,47115.0,0.0,38754.0,6,9,-677,8.0,2,365243.0,-646.0,-431.0,0.0
4969,225019,0,1,2,3,144000.0,783927.0,34659.0,688500.0,4,1,1,1,-12083,-4979,-1866,-4525,5,9,10,0.5556284486581312,0.576715029283536,0.3376727217405312,1360556,2,-2717,-2731.0,2851965.0,2851965.0,3,2851965.0,16870.5,17982.0,0.0,16870.5,6,5,-2778,8.0,2,365243.0,-2747.0,-2532.0,1.0
4970,256097,0,1,1,1,180000.0,312768.0,25204.5,270000.0,2,1,1,1,-9994,-2084,-486,-2686,1,11,17,0.2192184747510152,0.4822474051467992,0.35233997269170386,2476606,5,-42,-56.0,13809285.0,13809285.0,3,13809285.0,141750.0,141750.0,0.0,141750.0,6,0,-198,12.0,3,365243.0,-162.0,365243.0,0.0
4975,210249,0,1,1,3,135000.0,1350000.0,37125.0,1350000.0,1,2,1,1,-13761,-2200,-7282,-4446,7,0,1,0.5317293296302338,0.6903509590397512,0.8245949709919925,1210261,5,-1000,-1027.0,11689605.0,11689605.0,3,11689605.0,64080.0,57330.0,6750.0,64080.0,6,0,-1156,6.0,2,365243.0,-1120.0,-966.0,0.0
4981,243701,0,1,1,2,112500.0,592560.0,32274.0,450000.0,1,1,2,3,-13775,-2041,-4459,-5131,3,4,4,0.10970655926676218,0.5243758325397601,0.25670557243930026,2280351,4,-1463,-1464.0,3176.37,3176.37,3,3176.37,25371.0,26257.5,4500.0,25371.0,1,3,-1584,12.0,2,365243.0,-1553.0,-1221.0,0.0
4991,152504,0,1,2,2,81000.0,432661.5,30897.0,373500.0,2,2,1,1,-11274,-102,-11143,-2115,5,4,15,0.2902378666540857,0.6999705603221924,0.5460231970049609,2362359,2,-275,-289.0,1013895.0,9000.0,3,7986105.0,65637.0,64269.0,6565.5,65637.0,6,8,-335,10.0,1,365243.0,-305.0,-180.0,1.0
4992,299639,0,1,2,3,180000.0,1080000.0,44568.0,1080000.0,1,2,1,1,-11651,-3393,-302,-1668,5,1,7,0.2214948769717028,0.550398931733869,0.622922000268356,1648971,3,-615,-624.0,11297.43,11297.43,3,11297.43,134991.0,121491.0,13500.0,134991.0,6,5,-706,18.0,2,365243.0,-675.0,-278.0,0.0
5003,114419,0,1,2,2,262800.0,1024740.0,52452.0,900000.0,2,2,1,1,-10909,-325,-659,-2605,3,0,25,0.3301742283121524,0.21344851099199733,0.29708661164720285,2287199,9,-882,-897.0,13903605.0,13903605.0,3,13903605.0,121455.0,109305.0,12150.0,121455.0,5,1,-1160,10.0,2,365243.0,-1122.0,-849.0,0.0
5010,221461,0,2,2,1,81000.0,202500.0,10125.0,202500.0,2,1,1,2,-16696,-3622,-9803,-239,5,11,5,0.4160434131613629,0.7455043717492179,0.3425288720742255,1277824,2,-238,-289.0,9989325.0,9989325.0,3,9989325.0,123717825.0,98973.0,24744825.0,123717825.0,3,4,-303,12.0,1,365243.0,-268.0,-173.0,0.0
5014,127367,0,1,1,1,112500.0,450000.0,22018.5,450000.0,1,1,5,1,-17815,-2866,-7449,-1358,4,2,2,0.4420256181066759,0.6805446682632367,0.7366226976503176,1560523,3,-730,-749.0,3527775.0,3527775.0,3,3527775.0,17050.5,17298.0,1705.5,17050.5,2,9,-821,6.0,2,365243.0,-790.0,-633.0,0.0
5016,268453,0,1,2,2,90000.0,331920.0,16096.5,225000.0,1,1,5,1,-19626,-115,-7128,-3146,7,9,4,0.6189111573300242,0.4235555821185375,0.5867400085415683,2707871,4,-1173,-1198.0,9741465.0,9741465.0,3,9741465.0,54391.5,54391.5,0.0,54391.5,1,1,-1294,6.0,3,365243.0,-1263.0,-1106.0,0.0
5017,189819,0,1,2,2,157500.0,339948.0,25546.5,315000.0,1,1,1,1,-15200,-5425,-3142,-4944,1,3,5,0.7610037831990574,0.574353812192682,0.7380196196295241,1717578,4,-681,-682.0,61358.76,61358.76,3,9577.62,126477.0,81477.0,45000.0,126477.0,5,12,-808,10.0,1,365243.0,-771.0,-673.0,0.0
5024,127822,1,1,2,3,45000.0,562491.0,23962.5,454500.0,1,1,1,1,-13133,-3354,-2636,-4424,5,12,5,0.20256874349095724,0.034338433690821,0.6658549219640212,1540563,4,-160,-168.0,12701475.0,12701475.0,3,12701475.0,52002.0,61771.5,0.0,52002.0,4,11,-281,6.0,2,365243.0,-250.0,-96.0,0.0
5026,230191,0,1,2,1,90000.0,298512.0,19075.5,270000.0,1,1,1,1,-15233,-8624,-8444,-4197,1,0,3,0.3767713045537097,0.07621279331527947,0.4048783643353997,1189457,1,-468,-482.0,32378085.0,32378085.0,3,5845.23,31455.0,31455.0,0.0,31455.0,6,8,-499,6.0,1,365243.0,-468.0,-463.0,0.0
5028,247072,0,1,1,1,135000.0,1237500.0,36315.0,1237500.0,1,1,1,1,-14495,-3505,-8465,-4048,5,2,13,0.3779946428478641,0.3551256437854799,0.2471909382666521,2448788,1,-1085,-1107.0,6593445.0,6593445.0,3,6593445.0,29884.5,24745.5,5980.5,29884.5,2,7,-1130,4.0,1,365243.0,-1085.0,-992.0,0.0
5034,210804,0,1,2,1,193500.0,1594395.0,50193.0,1305000.0,2,2,3,1,-20754,-4897,-12472,-4291,2,4,24,0.8142054142990341,0.6656982905586493,0.7946285827840042,1644898,4,-2445,-2471.0,14698395.0,14698395.0,3,14698395.0,151560.0,148468.5,15156.0,151560.0,5,0,-2566,12.0,1,365243.0,-2535.0,-2200.0,1.0
5042,149167,0,2,1,3,157500.0,450000.0,22500.0,450000.0,2,1,1,1,-16810,-251,-693,-366,5,1,4,0.6486662440648666,0.7253567465276243,0.39449540531239935,2658808,4,-113,-124.0,4927.32,4927.32,3,4927.32,35955.0,40108.5,3595.5,35955.0,3,8,-233,10.0,1,365243.0,-203.0,365243.0,1.0
5055,106368,0,1,2,1,162000.0,814041.0,23931.0,679500.0,2,1,1,1,-20501,-112,-1142,-1722,5,5,17,0.9224264902490266,0.2384285768881152,0.36896873825284665,1664835,7,-302,-312.0,71798.94,71798.94,3,12884.67,183136.5,127849.5,67500.0,183136.5,3,9,-513,12.0,1,365243.0,-482.0,-299.0,0.0
5056,108215,0,1,2,1,157500.0,1024740.0,52452.0,900000.0,1,4,1,1,-10941,-3067,-5060,-1332,4,3,6,0.26191795600427964,0.4522686043022505,0.2910973802776635,2127501,15,-149,-157.0,4687515.0,4687515.0,3,4687515.0,103500.0,103500.0,0.0,103500.0,6,12,-600,24.0,4,365243.0,-569.0,365243.0,0.0
5057,209569,0,1,2,1,67500.0,135000.0,13482.0,135000.0,1,3,1,1,-15410,-1456,-1593,-4478,3,2,2,0.5677147500149154,0.7419198876456325,0.7295666907060153,2257069,1,-830,-839.0,7079625.0,7079625.0,3,7079625.0,36427.5,38349.0,0.0,36427.5,3,7,-861,6.0,1,365243.0,-830.0,-673.0,0.0
5061,101598,0,1,1,2,180000.0,562491.0,23962.5,454500.0,1,2,1,1,-12820,-855,-6781,-4040,3,2,4,0.3681662459988708,0.35728197361233577,0.7934490301648944,1672654,23,-793,-793.0,10668285.0,10668285.0,3,5439.06,120600.0,120600.0,0.0,120600.0,3,4,-1484,24.0,4,365243.0,-1453.0,-787.0,0.0
5067,217690,0,1,2,1,112500.0,90000.0,6219.0,90000.0,1,1,3,1,-18790,-360,-11576,-2085,1,0,2,0.8960194520548487,0.7757481967612638,0.15759499866631024,1825401,3,-1312,-1341.0,3233.34,3233.34,3,3233.34,17640.0,16150.5,2250.0,17640.0,2,8,-1406,6.0,2,365243.0,-1372.0,-1274.0,0.0
5068,271170,1,1,2,2,135000.0,473760.0,56223.0,450000.0,1,1,1,1,-11305,-1891,-3726,-1399,5,0,30,0.4793367674583025,0.651678695346579,0.6144143775673561,1852801,11,-230,-228.0,13547.7,13430.07,3,13547.7,148324.5,133488.0,14836.5,148324.5,2,4,-584,12.0,1,365243.0,-530.0,-194.0,0.0
5076,195618,0,1,2,2,90000.0,526491.0,17527.5,454500.0,1,1,2,2,-8676,-250,-5853,-1350,4,8,7,0.3018982205615933,0.2927635978797235,0.4418358231994413,1336191,4,-592,-598.0,5729.85,5729.85,3,5729.85,28305.0,30015.0,2830.5,28305.0,5,5,-713,6.0,1,365243.0,-682.0,-529.0,0.0
5077,169610,0,1,1,1,121500.0,1042560.0,34587.0,900000.0,1,1,1,1,-11476,-951,-4247,-2849,3,3,25,0.3205432232068337,0.16219210595922867,0.6212263380626669,2473226,8,-1911,-1913.0,2693.97,2693.97,3,2693.97,29205.0,22468.5,8761.5,29205.0,7,4,-2152,12.0,2,365243.0,-2121.0,-1844.0,0.0
5079,142701,1,1,2,1,157500.0,654498.0,31486.5,585000.0,1,1,3,1,-8231,-705,-4758,-902,3,1,9,0.1861325339413244,0.496858459908391,0.1766525794312139,2709124,8,-843,-861.0,3421215.0,3421215.0,3,3421215.0,25267.5,25267.5,0.0,25267.5,6,9,-1089,10.0,2,365243.0,-1053.0,-779.0,0.0
5083,182409,0,1,2,3,90000.0,312768.0,21028.5,270000.0,1,2,1,1,-12159,-1574,-2659,-3300,5,9,12,0.40793838077762,0.3920820726668377,0.4722533429586386,1233746,9,-1663,-1662.0,7200.72,7200.72,3,7200.72,71955.0,67207.5,10800.0,71955.0,2,5,-1935,12.0,1,365243.0,-1903.0,-1594.0,0.0
5087,279655,0,1,2,3,135000.0,500211.0,48861.0,463500.0,1,1,1,1,-14326,-5754,-5135,-4445,1,15,12,0.6732506240210845,0.38285462609734666,0.7136313997323308,1193023,4,-2051,-2062.0,5622435.0,5622435.0,3,5622435.0,31455.0,27346.5,5400.0,31455.0,6,14,-2172,6.0,2,365243.0,-2141.0,-2017.0,0.0
5089,120058,0,1,2,1,148500.0,485190.0,26320.5,405000.0,3,2,1,1,-19118,365243,-429,-2669,6,11,8,0.3912098554143853,0.3820076266733227,0.4812493411434029,1494023,3,-1016,-1058.0,9120.51,9120.51,3,9120.51,97650.0,97650.0,0.0,97650.0,1,9,-1139,12.0,3,365243.0,-1076.0,-796.0,0.0
5091,281605,0,1,2,1,121500.0,254700.0,14350.5,225000.0,1,1,5,1,-17432,-2417,-3213,-984,1,0,6,0.5588474718106682,0.3600081992242753,0.4223696523543468,2260133,9,-1933,-1965.0,7708905.0,7708905.0,3,7708905.0,62910.0,69138.0,0.0,62910.0,2,12,-2204,12.0,2,365243.0,-2173.0,-1870.0,0.0
5094,198594,0,1,1,3,76500.0,62554.5,6696.0,54000.0,1,1,1,1,-13563,-1264,-7691,-4487,3,11,4,0.21487731954649,0.5384129856583633,0.7503751495159068,2258894,5,-150,-173.0,4543.02,4543.02,3,4543.02,30546.0,33570.0,0.0,30546.0,7,15,-304,10.0,2,365243.0,-270.0,365243.0,0.0
5096,286388,0,1,1,2,135000.0,634482.0,24714.0,454500.0,1,1,1,1,-15315,-749,-2466,-4168,4,1,25,0.2927169129757778,0.4544688546949855,0.2608559142068693,1079649,5,-27,-58.0,11442735.0,75645.0,3,11442735.0,58410.0,61879.5,0.0,58410.0,5,1,-181,6.0,1,365243.0,-147.0,365243.0,0.0
5100,108031,0,1,1,1,360000.0,1800000.0,49630.5,1800000.0,1,1,1,1,-15994,-1147,-7037,-4121,2,17,4,0.6270516394812816,0.7421166319521791,0.2793353208976285,2805642,4,-361,-373.0,80490465.0,80490465.0,3,11191995.0,122525.55,110277.0,12248.55,122525.55,1,4,-486,12.0,1,365243.0,-451.0,-354.0,0.0
5103,271005,0,2,2,1,427500.0,675000.0,33750.0,675000.0,2,2,4,1,-11765,-2570,-3453,-3457,4,5,2,0.20898845702123486,0.6990558682909402,0.03843009543937924,2148727,4,-1297,-1297.0,22794.3,22794.3,3,22794.3,150080.4,125910.0,30020.4,150080.4,7,1,-1418,6.0,3,365243.0,-1387.0,-1229.0,0.0
5105,202375,1,1,2,2,72000.0,273636.0,29470.5,247500.0,2,1,1,3,-10027,-651,-3020,-52,5,8,16,0.25425946510775976,0.030752643483815605,0.5028782772082183,1327388,5,-327,-336.0,26682.12,26682.12,3,5159295.0,30015.0,37345.5,0.0,30015.0,3,7,-478,10.0,2,365243.0,-447.0,-320.0,0.0
5108,254955,0,1,2,2,135000.0,779688.0,42426.0,630000.0,1,1,3,1,-13777,-151,-6800,-4545,7,11,4,0.5687275501439459,0.7504345004718945,0.7583930617144343,2438392,1,-563,-569.0,16349.85,16349.85,3,16349.85,91350.0,86557.5,9135.0,91350.0,1,0,-594,6.0,1,365243.0,-563.0,-406.0,0.0
5116,248184,0,1,1,2,157500.0,675000.0,32602.5,675000.0,1,2,1,1,-13616,-1391,-537,-4527,3,9,4,0.2394362845286996,0.5955703884720338,0.29708661164720285,1907234,6,-894,-923.0,98948205.0,98948205.0,3,5517.99,101016.0,122350.5,0.0,101016.0,6,8,-1075,24.0,4,365243.0,-1044.0,-884.0,0.0
5121,297020,0,1,2,1,162000.0,477175.5,45436.5,459000.0,1,2,1,1,-15155,-7000,-8882,-2535,2,9,13,0.7439270613679562,0.6159495291728412,0.7295666907060153,1984029,4,-2101,-2104.0,14460075.0,14460075.0,3,14460075.0,98910.0,94882.5,9900.0,98910.0,6,8,-2222,8.0,2,365243.0,-2191.0,-1976.0,1.0
5131,191903,0,1,2,1,247500.0,225000.0,9909.0,225000.0,1,1,1,4,-12782,-1098,-4554,-5056,4,3,2,0.6453128833922671,0.06653329475577739,0.6674577419214722,1010300,5,-2310,-2331.0,5246.01,5246.01,1,5246.01,45000.0,47970.0,0.0,45000.0,2,12,-2460,12.0,2,365243.0,-2430.0,-2091.0,1.0
5133,103288,0,1,2,2,135000.0,225000.0,14778.0,225000.0,2,2,4,1,-15145,-1740,-5111,-261,4,2,0,0.45374788097072,0.4043173683677033,0.5082869913916046,1711948,7,-3,-7.0,22411.17,22411.17,3,5751.9,48060.0,52290.0,0.0,48060.0,1,4,-213,10.0,3,365243.0,-183.0,365243.0,1.0
5137,164861,0,2,2,2,157500.0,180000.0,9000.0,180000.0,1,1,4,1,-8576,-280,-8408,-1253,3,10,7,0.1151335873219228,0.6192238326751902,0.10684194768082178,2200537,1,-329,-344.0,6799.86,6799.86,3,6799.86,65893.5,72850.5,0.0,65893.5,7,0,-360,12.0,3,365243.0,-329.0,-115.0,0.0
5139,202325,0,1,1,3,540000.0,1350000.0,39604.5,1350000.0,4,2,1,1,-12517,-4428,-6221,-4458,1,3,0,0.6199072320487959,0.5944954305692777,0.646329897706246,2452608,2,-2272,-2273.0,13812615.0,13812615.0,3,13812615.0,108310.5,105520.5,10831.5,108310.5,6,5,-2333,10.0,2,365243.0,-2302.0,-2024.0,1.0
5142,196148,0,2,2,1,135000.0,202500.0,10125.0,202500.0,1,2,2,3,-12514,-4026,-6506,-4427,1,11,0,0.8028402086330709,0.6715365950254448,0.2314393514998941,2183551,2,-2038,-2047.0,16308.99,16308.99,3,16308.99,121455.0,109309.5,12145.5,121455.0,5,7,-2103,8.0,1,365243.0,-2068.0,-1856.0,0.0
5146,125952,0,1,2,1,112500.0,1184755.5,63121.5,1066500.0,3,1,1,1,-19485,365243,-10049,-3039,1,11,8,0.3525324201462689,0.33865504265542,0.33285056416487313,1919006,3,-597,-607.0,4187.88,4187.88,3,4187.88,19345.5,20367.0,0.0,19345.5,7,11,-688,6.0,2,365243.0,-657.0,-492.0,0.0
